Year,SERIES,REF_AREA,URBANISATION,GeoCode,Value
2019,AG_PRD_FIESMS,,,,4.5
2020,AG_PRD_FIESMS,,,,5.7
2021,AG_PRD_FIESMS,,,,7.6
2022,AG_PRD_FIESMS,,,,5.652293
2019,AG_PRD_FIESMS,,U,,6.9
2020,AG_PRD_FIESMS,,U,,9.4
2021,AG_PRD_FIESMS,,U,,12.9
2022,AG_PRD_FIESMS,,U,,11.431225
2019,AG_PRD_FIESMS,,R,,3.1
2020,AG_PRD_FIESMS,,R,,3.6
2021,AG_PRD_FIESMS,,R,,4.5
2022,AG_PRD_FIESMS,,R,,2.30149
2019,AG_PRD_FIESMS,KG05,,KG05,2.7
2020,AG_PRD_FIESMS,KG05,,KG05,2.4
2021,AG_PRD_FIESMS,KG05,,KG05,0.9
2022,AG_PRD_FIESMS,KG05,,KG05,1.135902
2019,AG_PRD_FIESMS,KG03,,KG03,6.6
2020,AG_PRD_FIESMS,KG03,,KG03,7.0
2021,AG_PRD_FIESMS,KG03,,KG03,9.8
2022,AG_PRD_FIESMS,KG03,,KG03,4.64161
2019,AG_PRD_FIESMS,KG02,,KG02,9.3
2020,AG_PRD_FIESMS,KG02,,KG02,9.8
2021,AG_PRD_FIESMS,KG02,,KG02,4.6
2022,AG_PRD_FIESMS,KG02,,KG02,2.51904
2019,AG_PRD_FIESMS,KG04,,KG04,1.8
2020,AG_PRD_FIESMS,KG04,,KG04,1.3
2021,AG_PRD_FIESMS,KG04,,KG04,8.3
2022,AG_PRD_FIESMS,KG04,,KG04,4.872377
2019,AG_PRD_FIESMS,KG06,,KG06,2.2
2020,AG_PRD_FIESMS,KG06,,KG06,2.2
2021,AG_PRD_FIESMS,KG06,,KG06,3.5
2022,AG_PRD_FIESMS,KG06,,KG06,1.048524
2019,AG_PRD_FIESMS,KG07,,KG07,3.3
2020,AG_PRD_FIESMS,KG07,,KG07,7.6
2021,AG_PRD_FIESMS,KG07,,KG07,8.3
2022,AG_PRD_FIESMS,KG07,,KG07,8.39205
2019,AG_PRD_FIESMS,KG08,,KG08,3.0
2020,AG_PRD_FIESMS,KG08,,KG08,4.2
2021,AG_PRD_FIESMS,KG08,,KG08,3.1
2022,AG_PRD_FIESMS,KG08,,KG08,4.496569
2019,AG_PRD_FIESMS,KG11,,KG11,5.4
2020,AG_PRD_FIESMS,KG11,,KG11,10.3
2021,AG_PRD_FIESMS,KG11,,KG11,13.6
2022,AG_PRD_FIESMS,KG11,,KG11,11.111248
2019,AG_PRD_FIESMS,KG21,,KG21,10.7
2020,AG_PRD_FIESMS,KG21,,KG21,12.2
2021,AG_PRD_FIESMS,KG21,,KG21,24.6
2022,AG_PRD_FIESMS,KG21,,KG21,24.120065
2019,AG_PRD_FIESS,,,,0.8
2020,AG_PRD_FIESS,,,,1.3
2021,AG_PRD_FIESS,,,,1.6
2022,AG_PRD_FIESS,,,,1.48973
2019,AG_PRD_FIESS,,U,,1.8
2020,AG_PRD_FIESS,,U,,2.9
2021,AG_PRD_FIESS,,U,,3.4
2022,AG_PRD_FIESS,,U,,3.189262
2019,AG_PRD_FIESS,,R,,0.2
2020,AG_PRD_FIESS,,R,,0.4
2021,AG_PRD_FIESS,,R,,0.6
2022,AG_PRD_FIESS,,R,,0.504288
2019,AG_PRD_FIESS,KG05,,KG05,0.1
2020,AG_PRD_FIESS,KG05,,KG05,0.0
2021,AG_PRD_FIESS,KG05,,KG05,0.1
2022,AG_PRD_FIESS,KG05,,KG05,0.054127
2019,AG_PRD_FIESS,KG03,,KG03,2.1
2020,AG_PRD_FIESS,KG03,,KG03,2.4
2021,AG_PRD_FIESS,KG03,,KG03,3.2
2022,AG_PRD_FIESS,KG03,,KG03,2.620321
2019,AG_PRD_FIESS,KG02,,KG02,0.7
2020,AG_PRD_FIESS,KG02,,KG02,1.5
2021,AG_PRD_FIESS,KG02,,KG02,0.2
2022,AG_PRD_FIESS,KG02,,KG02,0.408104
2019,AG_PRD_FIESS,KG04,,KG04,0.1
2020,AG_PRD_FIESS,KG04,,KG04,0.4
2021,AG_PRD_FIESS,KG04,,KG04,1.3
2022,AG_PRD_FIESS,KG04,,KG04,0.835599
2019,AG_PRD_FIESS,KG06,,KG06,0.1
2020,AG_PRD_FIESS,KG06,,KG06,0.3
2021,AG_PRD_FIESS,KG06,,KG06,0.7
2022,AG_PRD_FIESS,KG06,,KG06,0.071736
2019,AG_PRD_FIESS,KG07,,KG07,0.1
2020,AG_PRD_FIESS,KG07,,KG07,0.8
2021,AG_PRD_FIESS,KG07,,KG07,0.5
2022,AG_PRD_FIESS,KG07,,KG07,1.11623
2019,AG_PRD_FIESS,KG08,,KG08,0.7
2020,AG_PRD_FIESS,KG08,,KG08,1.4
2021,AG_PRD_FIESS,KG08,,KG08,0.5
2022,AG_PRD_FIESS,KG08,,KG08,1.528846
2019,AG_PRD_FIESS,KG11,,KG11,0.4
2020,AG_PRD_FIESS,KG11,,KG11,1.8
2021,AG_PRD_FIESS,KG11,,KG11,0.9
2022,AG_PRD_FIESS,KG11,,KG11,0.495484
2019,AG_PRD_FIESS,KG21,,KG21,2.7
2020,AG_PRD_FIESS,KG21,,KG21,3.7
2021,AG_PRD_FIESS,KG21,,KG21,11.7
2022,AG_PRD_FIESS,KG21,,KG21,11.592243
