Year,REF_AREA,SEX,COMMENT_TS,GeoCode,Value
2010,,,,,7.8
2011,,,,,7.6
2012,,,,,7.6
2013,,,,,6.9
2014,,,,,6.9
2015,,,,,7.4
2016,,,,,7.6
2017,,,,,10.1
2018,,,,,12.0
2019,,,,,11.8
2020,,,,,11.4
2021,,,,,11.7
2010,KG05,,,KG05,6.4
2011,KG05,,,KG05,6.4
2012,KG05,,,KG05,5.7
2013,KG05,,,KG05,3.1
2014,KG05,,,KG05,3.0
2015,KG05,,,KG05,2.3
2016,KG05,,,KG05,2.4
2017,KG05,,,KG05,4.5
2018,KG05,,,KG05,6.9
2019,KG05,,,KG05,13.2
2020,KG05,,,KG05,14.7
2021,KG05,,,KG05,16.4
2010,KG03,,,KG03,3.1
2011,KG03,,,KG03,3.3
2012,KG03,,,KG03,4.3
2013,KG03,,,KG03,5.1
2014,KG03,,,KG03,5.3
2015,KG03,,,KG03,5.5
2016,KG03,,,KG03,5.4
2017,KG03,,,KG03,8.9
2018,KG03,,,KG03,15.3
2019,KG03,,,KG03,11.0
2020,KG03,,,KG03,9.0
2021,KG03,,,KG03,9.7
2010,KG02,,,KG02,3.2
2011,KG02,,,KG02,3.7
2012,KG02,,,KG02,4.1
2013,KG02,,,KG02,4.1
2014,KG02,,,KG02,4.2
2015,KG02,,,KG02,4.7
2016,KG02,,,KG02,5.3
2017,KG02,,,KG02,6.4
2018,KG02,,,KG02,8.2
2019,KG02,,,KG02,10.6
2020,KG02,,,KG02,10.8
2021,KG02,,,KG02,12.1
2010,KG04,,,KG04,2.4
2011,KG04,,,KG04,1.6
2012,KG04,,,KG04,1.6
2013,KG04,,,KG04,1.4
2014,KG04,,,KG04,0.9
2015,KG04,,,KG04,1.1
2016,KG04,,,KG04,1.4
2017,KG04,,,KG04,2.3
2018,KG04,,,KG04,3.9
2019,KG04,,,KG04,4.1
2020,KG04,,,KG04,4.7
2021,KG04,,,KG04,5.3
2010,KG06,,Until 2013 - including Osh.,KG06,6.3
2011,KG06,,Until 2013 - including Osh.,KG06,5.9
2012,KG06,,Until 2013 - including Osh.,KG06,5.4
2013,KG06,,,KG06,2.7
2014,KG06,,,KG06,2.8
2015,KG06,,,KG06,3.4
2016,KG06,,,KG06,3.3
2017,KG06,,,KG06,4.7
2018,KG06,,,KG06,6.7
2019,KG06,,,KG06,5.5
2020,KG06,,,KG06,5.1
2021,KG06,,,KG06,4.7
2010,KG07,,,KG07,2.6
2011,KG07,,,KG07,3.0
2012,KG07,,,KG07,3.1
2013,KG07,,,KG07,3.0
2014,KG07,,,KG07,2.2
2015,KG07,,,KG07,1.9
2016,KG07,,,KG07,2.1
2017,KG07,,,KG07,3.6
2018,KG07,,,KG07,3.8
2019,KG07,,,KG07,3.2
2020,KG07,,,KG07,3.4
2021,KG07,,,KG07,3.4
2010,KG08,,,KG08,14.3
2011,KG08,,,KG08,14.3
2012,KG08,,,KG08,14.8
2013,KG08,,,KG08,13.7
2014,KG08,,,KG08,13.7
2015,KG08,,,KG08,15.1
2016,KG08,,,KG08,16.0
2017,KG08,,,KG08,21.6
2018,KG08,,,KG08,21.4
2019,KG08,,,KG08,20.3
2020,KG08,,,KG08,19.7
2021,KG08,,,KG08,18.8
2010,KG11,,,KG11,14.5
2011,KG11,,,KG11,13.6
2012,KG11,,,KG11,12.8
2013,KG11,,,KG11,13.5
2014,KG11,,,KG11,13.5
2015,KG11,,,KG11,14.8
2016,KG11,,,KG11,15.4
2017,KG11,,,KG11,16.1
2018,KG11,,,KG11,16.4
2019,KG11,,,KG11,18.7
2020,KG11,,,KG11,18.8
2021,KG11,,,KG11,19.6
2013,KG21,,,KG21,7.5
2014,KG21,,,KG21,7.8
2015,KG21,,,KG21,5.1
2016,KG21,,,KG21,5.1
2017,KG21,,,KG21,7.6
2018,KG21,,,KG21,8.5
2019,KG21,,,KG21,8.9
2020,KG21,,,KG21,6.8
2021,KG21,,,KG21,6.9
2010,,F,,,9.3
2011,,F,,,8.8
2012,,F,,,9.0
2013,,F,,,8.8
2014,,F,,,8.9
2015,,F,,,8.4
2016,,F,,,9.1
2017,,F,,,11.3
2018,,F,,,12.5
2019,,F,,,12.5
2020,,F,,,12.5
2021,,F,,,12.8
2010,,M,,,6.7
2011,,M,,,6.8
2012,,M,,,6.6
2013,,M,,,5.7
2014,,M,,,5.6
2015,,M,,,6.7
2016,,M,,,6.7
2017,,M,,,9.3
2018,,M,,,11.7
2019,,M,,,11.4
2020,,M,,,10.7
2021,,M,,,11.0
